County,Female (2012),Male (2012),Total (2012),Female (2011),Male (2011),Total (2011),Female (2010),Male (2010),Total (2010),Female (2009),Male (2009),Total (2009),Female (2008),Male (2008),Total (2008),Female (2008-2012),Male (2008-2012),Total (2008-2012)
Asotin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Benton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Chelan,0,2,2,0,0,0,0,1,1,1,0,1,1,0,1,2,3,5
Clallam,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2
Clark,1,3,4,0,2,2,0,0,0,0,0,0,0,1,1,1,6,7
Columbia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Cowlitz,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Douglas,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2
Grays Harbor,0,3,3,1,1,2,0,1,1,0,0,0,0,0,0,1,5,6
Island,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Jefferson,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
King,3,10,13,4,2,6,1,2,3,4,3,7,0,4,4,12,21,33
Kitsap,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Mason,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Okanogan,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2
Pacific,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,2,3
Pierce,1,3,4,0,3,3,0,3,3,0,3,3,1,6,7,2,18,20
Skagit,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2,3
Snohomish,0,1,1,0,2,2,0,5,5,0,0,0,3,0,3,3,8,11
Spokane,0,1,1,0,2,2,1,1,2,1,0,1,0,0,0,2,4,6
Stevens,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
Thurston,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,2
Walla Walla,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Whatcom,0,1,1,1,1,2,0,1,1,1,0,1,0,0,0,2,3,5
Whitman,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Yakima,0,1,1,0,3,3,1,2,3,0,1,1,0,0,0,1,7,8
